software name,RP Name,overview,core features,tags,research area,research discipline,software type,software class,Software's Web Page,Software Documentation,Tutorials
GDBM,,GDBM (GNU dbm) is a library that provides key-value storage using a database format that is a predecessor to NoSQL databases. It is used for storing and retrieving data with key lookup functionalities in various applications.,"Key-Value storage, Database management, Hash-based data retrieval, Atomic database transactions, Persistent data storage","key-value storage, database management, data retrieval, persistent storage",Database Management,Computer Science,Open Source,Database Library,,,
Clang,ACES,"Clang is a C, C++, and Objective-C compiler front-end that is part of the LLVM (Low-Level Virtual Machine) project. It provides a modern and efficient compiler framework for a wide range of programming languages, supporting various platforms and optimizations.","C, C++, and Objective-C compiler front-end, Part of the LLVM project, Modern and efficient compiler framework","Compiler front-end, LLVM-based",,,Utility,Compiler,,,
gsl,"Stampede-2, Anvil, ACES, Rockfish","The GNU Scientific Library (GSL) is a numerical library for C and C++ programmers that provides a wide range of mathematical routines for scientific computing. It offers functions for linear algebra, interpolation, numerical integration, and more.","Numerical routines for scientific computing, Support for linear algebra, interpolation, and numeric integration, Implemented in C and C++ for robust performance","Numerical Library, Scientific Computing, Mathematical Routines",Numerical Analysis,Mathematics,Numerical Computing,Library,,,
Captum,ACES,Captum is an interpretability library for PyTorch that provides state-of-the-art attribution algorithms for explaining model predictions in machine learning and deep learning applications.,"Interpretability algorithms for explaining model predictions, Support for various attribution methods like Integrated Gradients and DeepLIFT, Integration with PyTorch deep learning framework, Visualization tools for interpreting model behavior","interpretability, attribution, PyTorch library",Interpretability,Machine Learning,Library,Interpretability Tool,https://captum.ai/,https://captum.ai/docs/introduction,https://captum.ai/tutorials/
CUDA,"Jetstream2, OOKAMI, ACES, Delta, Bridges-2, Rockfish","CUDA (Compute Unified Device Architecture) is a parallel computing platform and API model created by NVIDIA. It enables software developers to use NVIDIA GPUs for general-purpose processing, including parallel programming and accelerating computing tasks.","GPU parallel computing capabilities, CUDA-accelerated libraries for numerical computations, Integration with programming languages like C/C++ and Python, Scalable across NVIDIA GPU architectures, Support for parallel algorithms and data processing","GPU computing, parallel programming, accelerated computing, numerical computations",Parallel Computing,Computer Science,Proprietary,Parallel Computing Tools,https://developer.nvidia.com/cuda-zone,https://docs.nvidia.com/cuda/,"https://youtu.be/H3AQnlpxk0c, https://youtu.be/_JgNA82325I, https://youtu.be/dB5Jxwj0PDw, https://developer.nvidia.com/cuda-toolkit "
AOCL,Bridges-2,"AOCL (AMD OpenCL Compiler) is a compiler designed to compile OpenCL kernels for AMD GPUs and APUs. It enables developers to optimize and execute OpenCL code efficiently on AMD platforms, leveraging the performance advantages of AMD GPU architectures.","OpenCL kernel compiler for AMD GPUs and APUs, Optimizes OpenCL code for AMD platforms, Leverages AMD GPU architecture performance","OpenCL compiler, GPU programming",,,Tool,Compiler,https://www.amd.com/en/developer/aocl.html,,
nanopolish,Rockfish,"Nanopolish is a software package for signal-level analysis of Oxford Nanopore sequencing data. It provides various tools for basecalling, alignment, and variant calling, focusing on improving the accuracy of consensus sequences.","Signal-level analysis of Oxford Nanopore sequencing data, Basecalling optimization, Alignment improvement, Variant calling and consensus sequence refinement","sequencing data analysis, variant calling, signal processing, genomics",DNA sequencing,genomics,analysis tool,bioinformatics tool,,,
mkl32,KyRIC,"Math Kernel Library (MKL) is a library of highly optimized, extensively threaded math routines for scientific, engineering, and financial applications. These routines include BLAS, LAPACK, ScaLAPACK, Sparse Solvers, Fast Fourier Transforms, Vector Math functions, and more.","Highly optimized math routines, Multithreaded, Suitable for scientific, engineering, and financial applications","Math Kernel Library, Optimized Math Routines, Scientific Computing",Scientific Computing,Mathematics,Computational Software,Math Library,,,
GLib,"ACES, Rockfish","GLib is a core library that forms the foundation for the GTK, GNOME, and other software development projects. It provides data structure handling, portability, and APIs for many programming tasks, aiding in the development of robust applications.","Data structure handling, Memory management utilities, File I/O functionality, Cross-platform compatibility, Thread support and utilities","core library, software development, portability, threading",Software Development,Computer Science,Open Source,Core Library,,,
GLM (OpenGL Mathematics),,"GLM is a popular C++ mathematics library that provides functions and classes for graphics programming with OpenGL. It offers math utilities for vectors, matrices, and transformations commonly used in computer graphics applications.","Mathematics library for OpenGL development, Vector, matrix, and transformation functions, Supports graphics programming","OpenGL programming, Mathematics library",,,Library,Mathematics Library,,,
Texinfo,Anvil,"Texinfo is a documentation system commonly used to typeset software manuals with the GNU Project. It uses a plain text format that can be converted into various output formats like HTML, PDF, and Info. Texinfo provides a structured way to write and publish documentation for software projects.","Documentation system, Text formatting, Output conversion","software manuals, plain text format, documentation",Documentation,Software Development,Documentation Tool,System,https://www.gnu.org/software/texinfo/,https://www.gnu.org/software/texinfo/manual/texinfo/,https://www.linuxjournal.com/article/2840
